case,full_steps,halfsteps,candidate,relative_l2,phase_rms_rad,relative_energy_error,temporal_centroid_s,temporal_width_s,spectral_centroid_rad_s,spectral_width_rad_s
positive_chirp,0.5,1,baseline_complex64,1.1414055272801848e-07,6.691829681916234e-08,7.684892966980558e-08,-7.195511186696368e-16,2.073235700651539e-14,-35796458126.74976,93617154641943.98
positive_chirp,0.5,1,orthonormal_fft,1.7809026435482325e-07,9.288480948352395e-08,2.007028624020781e-07,-7.195508874322751e-16,2.0732356722279536e-14,-35796167299.084305,93617154030593.8
positive_chirp,0.5,1,mixed_precision,2.4545928060074188e-08,1.1080308137954552e-08,1.6868214880943876e-08,-7.195510088445405e-16,2.0732357053505982e-14,-35797356259.38895,93617155805521.7
positive_chirp,0.5,1,unitary_projection,1.1414055272801848e-07,6.691829681916234e-08,7.684892966980558e-08,-7.195511186696368e-16,2.073235700651539e-14,-35796458126.74976,93617154641943.98
positive_chirp,20,40,baseline_complex64,1.3400722442140994e-06,7.889969637571191e-07,1.0642946162264484e-06,-7.319407553006404e-16,2.0730711238979853e-14,-35780352723.03777,93617116644901.08
positive_chirp,20,40,orthonormal_fft,4.057695064642802e-06,1.541364811980174e-06,6.785027283713899e-06,-7.319433634849769e-16,2.073070579649263e-14,-35800189390.93735,93617078670384.2
positive_chirp,20,40,mixed_precision,1.564024676224831e-07,1.0769030409413001e-07,1.9295522670927984e-08,-7.319442831492194e-16,2.0730716085649927e-14,-35797307264.62363,93617154684791.61
positive_chirp,20,40,unitary_projection,1.3400722442140994e-06,7.889969637571191e-07,1.0642946162264484e-06,-7.319407553006404e-16,2.0730711238979853e-14,-35780352723.03777,93617116644901.08
positive_chirp,200,400,baseline_complex64,1.1940379900740358e-05,8.677799373247776e-06,1.0363796657098126e-05,-8.290061657770428e-16,2.0716666948017625e-14,-35713158325.11205,93616691559930.34
positive_chirp,200,400,orthonormal_fft,3.882055023804727e-05,1.6581562399448514e-05,6.616953092472241e-05,-8.290064989653974e-16,2.0716610430927668e-14,-35810890270.75552,93616390151515.06
positive_chirp,200,400,mixed_precision,5.13032054488933e-07,3.54481739754282e-07,2.9588471925975632e-08,-8.290283087970976e-16,2.0716715732317044e-14,-35799599620.091995,93617157437189.34
positive_chirp,200,400,unitary_projection,1.1940379900740358e-05,8.677799373247776e-06,1.0363796657098126e-05,-8.290061657770428e-16,2.0716666948017625e-14,-35713158325.11205,93616691559930.34
negative_chirp,0.5,1,baseline_complex64,1.1300791491920557e-07,7.187961351928111e-08,6.122349933771356e-08,-7.195953862054548e-16,2.0732417252203458e-14,-35797308364.95753,93617153713235.14
negative_chirp,0.5,1,orthonormal_fft,1.7350377853158528e-07,9.568778981239169e-08,1.8113293333171656e-07,-7.195959392220453e-16,2.0732417219476225e-14,-35794506301.76837,93617152051813.39
negative_chirp,0.5,1,mixed_precision,2.3770835829317394e-08,1.1216693377207363e-08,1.019758529180473e-08,-7.195958085735179e-16,2.0732417755933454e-14,-35795043044.97776,93617154498914.95
negative_chirp,0.5,1,unitary_projection,1.1300791491920557e-07,7.187961351928111e-08,6.122349933771356e-08,-7.195953862054548e-16,2.0732417252203458e-14,-35797308364.95753,93617153713235.14
negative_chirp,20,40,baseline_complex64,1.4121584807459192e-06,8.446183455535913e-07,1.1188160041575225e-06,-7.340177945536822e-16,2.073313873464677e-14,-35781926160.84962,93617125068876.14
negative_chirp,20,40,orthonormal_fft,3.7523843827284553e-06,1.3824573158854234e-06,6.092065876666721e-06,-7.340191768635728e-16,2.0733136162856157e-14,-35770424946.82239,93617082388115.69
negative_chirp,20,40,mixed_precision,1.520251952107195e-07,1.0474758318774189e-07,1.4004957294252837e-08,-7.340130600464801e-16,2.073314564993763e-14,-35796007419.470566,93617153308861.06
negative_chirp,20,40,unitary_projection,1.4121584807459192e-06,8.446183455535913e-07,1.1188160041575225e-06,-7.340177945536822e-16,2.073313873464677e-14,-35781926160.84962,93617125068876.14
negative_chirp,200,400,baseline_complex64,1.1931688899451942e-05,8.711005101200373e-06,1.0862956669898843e-05,-8.758053175357544e-16,2.0741506579545713e-14,-35638085814.98549,93616905871178.81
negative_chirp,200,400,orthonormal_fft,3.750064957149326e-05,1.622386537506765e-05,6.40216500669649e-05,-8.757913207051193e-16,2.0741455469305152e-14,-35617463413.1396,93616516907571.16
negative_chirp,200,400,mixed_precision,5.052614580812225e-07,3.5435351315053277e-07,1.1748886284851228e-08,-8.757549932161512e-16,2.074154607446672e-14,-35798869199.57906,93617152285768.6
negative_chirp,200,400,unitary_projection,1.1931688899451942e-05,8.711005101200373e-06,1.0862956669898843e-05,-8.758053175357544e-16,2.0741506579545713e-14,-35638085814.98549,93616905871178.81
asymmetric,0.5,1,baseline_complex64,9.877716903838683e-08,2.574792747209295e-08,2.3978201244330405e-08,6.725853567974168e-15,1.8465607936736957e-14,-71641623476.42082,43578529622903.16
asymmetric,0.5,1,orthonormal_fft,1.6220937262759508e-07,3.7598892338668194e-08,1.8474061922787923e-07,6.725853167724082e-15,1.846560800799812e-14,-71641744873.539,43578535592382.43
asymmetric,0.5,1,mixed_precision,2.4628619087794862e-08,1.17607045152848e-10,2.9318900118941952e-08,6.7258536308172216e-15,1.846560765384884e-14,-71641883160.76027,43578531688178.14
asymmetric,0.5,1,unitary_projection,9.877716903838683e-08,2.574792747209295e-08,2.3978201244330405e-08,6.725853567974168e-15,1.8465607936736957e-14,-71641623476.42082,43578529622903.16
asymmetric,20,40,baseline_complex64,1.007896084584674e-06,6.730930493836459e-07,1.7066977508295627e-07,6.707909201677004e-15,1.846078879292623e-14,-71636876017.34435,43578524929556.33
asymmetric,20,40,orthonormal_fft,2.57463721369241e-06,9.018200632411416e-07,3.99456727954523e-06,6.707903580196038e-15,1.8460796603798472e-14,-71635161204.68933,43578557015562.83
asymmetric,20,40,mixed_precision,1.5535229861380457e-07,1.0209025695662391e-07,6.162718626163041e-09,6.707913748471863e-15,1.8460784753718214e-14,-71641844711.80313,43578538895901.65
asymmetric,20,40,unitary_projection,9.814474361228926e-07,6.379929021970606e-07,3.704899495170822e-07,6.707909227129859e-15,1.8460788948861692e-14,-71636890077.73972,43578531636243.61
asymmetric,200,400,baseline_complex64,8.012269634506124e-06,5.046904259249982e-06,1.631404957768401e-06,6.506319497708806e-15,1.8433010076862644e-14,-71587092196.57793,43578525057280.45
asymmetric,200,400,orthonormal_fft,2.3180978567736966e-05,1.0983524306838383e-05,3.690705861830651e-05,6.506252705320413e-15,1.843309403474004e-14,-71592419215.74577,43578652639500.23
asymmetric,200,400,mixed_precision,4.899946327992918e-07,3.439430966442746e-07,1.3032525880797983e-08,6.506359677977147e-15,1.843297239168352e-14,-71642136180.55763,43578543087559.91
asymmetric,200,400,unitary_projection,7.98167732674779e-06,5.012855442450473e-06,1.9940287931114713e-06,6.506319282215516e-15,1.843301074755421e-14,-71586771390.56993,43578541171448.24
high_k,0.5,1,baseline_complex64,1.1449546634081463e-07,7.944692170040779e-08,1.733587353958058e-08,-7.428284852673505e-16,2.073160471579704e-14,-430937717.29988676,10442323694520.232
high_k,0.5,1,orthonormal_fft,1.6944955440942968e-07,9.078409196945425e-08,1.4393034312844335e-07,-7.42828308199577e-16,2.073160479670408e-14,-430930258.3752681,10442325765440.97
high_k,0.5,1,mixed_precision,2.4205426675189035e-08,1.2024485259358036e-08,4.976161100690292e-10,-7.428284068426279e-16,2.073160469096023e-14,-430977071.3462237,10442324071708.09
