lag_index,lag_fs,dimensionless_weight,equivalent_kernel_1_s,continuous_kernel_1_s
72,180.0,0.001655588966554342,662235586621.7368,661730077516.4604
73,182.5,0.00136219219447234,544876877788.93604,544378037948.85406
74,185.0,0.0010837571662766171,433502866510.64685,433011558835.5551
75,187.5,0.000820058211704896,328023284681.95844,327540298400.5285
76,190.0,0.0005708459732056188,228338389282.24753,227864442559.07898
77,192.5,0.0003358495377855744,134339815114.22977,133875557675.55254
78,195.0,0.00011477849011814373,45911396047.25749,45457411817.35731
79,197.5,-9.267511341149263e-05,-37070045364.59705,-37513235623.670944
80,200.0,-0.00028683484982420604,-114733939929.68242,-115165875982.1452
81,202.5,-0.0004680381137180117,-187215245487.20468,-187635524997.81134
82,205.0,-0.0006366343801862057,-254653752074.4823,-255062027999.19012
83,207.5,-0.0007929835459932041,-317193418397.2817,-317589396395.94385
84,210.0,-0.0009374543483482459,-374981739339.29834,-375365175215.6853
85,212.5,-0.0010704228604591966,-428169144183.67865,-428539841357.66724
86,215.0,-0.0011922710629027004,-476908425161.08014,-477266232177.49677
87,217.5,-0.0013033854897126329,-521354195885.05316,-521699003963.2675
88,220.0,-0.0014041559479658426,-561662379186.337,-561994119814.3408
89,222.5,-0.0014949743095319713,-597989723812.7885,-598308366389.1449
90,225.0,-0.001576233373552542,-630493349421.0168,-630798898947.7366
91,227.5,-0.0016483257981229351,-659330319249.1741,-659622814078.237
92,229.99999999999997,-0.0017116430995689808,-684657239827.5923,-684936749463.5417
93,232.50000000000003,-0.0017665747176373234,-706629887054.9293,-706896510015.6493
94,235.0,-0.0018135071448550158,-725402857942.0063,-725656719679.5315
95,237.5,-0.0018528231182585889,-741129247303.4355,-741370498186.3549
96,240.0,-0.0018849008716457579,-753960348658.3031,-754189162017.0732
97,242.49999999999997,-0.0019101134464635234,-764045378585.4094,-764261948821.6364
98,245.00000000000003,-0.0019288280594143613,-771531223765.7445,-771735764526.2825
99,247.5,-0.0019414055248371067,-776562209934.8427,-776754952351.3112
100,250.0,-0.0019481997299005919,-779279891960.2367,-779461082954.3785
101,252.49999999999997,-0.0019495571606357644,-779822864254.3058,-779992764909.3889
102,255.00000000000003,-0.0019458164768255599,-778326590730.224,-778485474728.5269
103,257.5,-0.0019373081337708427,-774923253508.337,-775071405634.571
104,260.0,-0.0019243540489548674,-769741619581.9469,-769879334292.314
105,262.5,-0.0019072673116377753,-762906924655.1101,-763034504711.5488
106,265.0,-0.0018863519334261156,-754540773370.4463,-754658528539.4707
107,267.5,-0.0018619026378800536,-744761055152.0215,-744869300967.4369
108,270.0,-0.0018342046872425,-733681874897.0,-733780931485.6536
109,272.5,-0.0018035337443994823,-721413497759.793,-721503688729.4135
110,275.0,-0.0017701557682095026,-708062307283.801,-708143958671.8809
111,277.5,-0.0017343269403710152,-693730776148.4061,-693804215430.9851
112,280.0,-0.0016962936220312882,-678517448812.5153,-678583003971.6445
113,282.5,-0.0016562923383765056,-662516935350.6023,-662574933999.1946
114,285.0,-0.0016145497894818179,-645819915792.7272,-645870684355.4313
115,287.5,-0.0015712828857408203,-628513154296.3281,-628557017245.0095
116,290.0,-0.001526698806236537,-610679522494.6147,-610716801636.9683
117,292.5,-0.0014809950784600394,-592398031384.0157,-592429045203.7988
118,295.0,-0.0014343596778282845,-573743871131.3138,-573768934178.6484
119,297.5,-0.0013869711454992648,-554788458199.7059,-554807880529.862
120,300.0,-0.0013389987230300582,-535599489212.0233,-535613575871.07935
121,302.5,-0.0012906025024715746,-516241000988.6298,-516250051544.3814
122,305.0,-0.0012419335905426024,-496773436217.04095,-496777744333.5171
123,307.5,-0.0011931342855749977,-477253714229.9991,-477253567283.93353
124,310.0,-0.0011443382659713185,-457735306388.5274,-457730985126.1335
125,312.5,-0.0010956707889658557,-438268315586.3423,-438260093818.73553
126,315.0,-0.001047248898529568,-418899559411.8272,-418887703747.44696
127,317.5,-0.000999181641308927,-399672656523.5708,-399657426135.96173
128,320.0,-0.0009515702895378391,-380628115815.1356,-380609762244.4596
129,322.5,-0.0009045085699106843,-361803427964.27374,-361782194950.9378
130,325.0,-0.0008580828974528178,-343233158981.12714,-343209282329.94025
131,327.5,-0.0008123726134727325,-324949045389.093,-324922752862.3724
132,330.0,-0.0007674502267271788,-306980090690.8715,-306951601928.957
133,332.5,-0.0007233816569769553,-289352662790.7821,-289322189258.43463
134,335.0,-0.0006802264801567059,-272090592062.68234,-272058337019.877
135,337.5,-0.0006380381744267536,-255215269770.70145,-255181428266.35486
136,340.0,-0.00059686436641883,-238745746567.53198,-238710505454.73657
137,342.5,-0.0005567470770303446,-222698830812.13782,-222662368783.51105
138,345.0,-0.0005177229661636199,-207089186465.44797,-207051674107.23788
139,347.5,-0.00047982357584722515,-191929430338.89005,-191891030202.51938
140,350.0,-0.0004430755712161033,-177230228486.4413,-177191095176.20825
141,352.5,-0.0004075009788656475,-163000391546.259,-162960671821.95352
142,355.0,-0.00037311742213213124,-149246968852.8525,-149206801746.0822
143,357.5,-0.00033993835288797066,-135975341155.18826,-135934858098.25545
144,360.0,-0.00030797327947516573,-123189311790.0663,-123148636756.27437
145,362.5,-0.00027722799043389024,-110891196173.55609,-110850445827.86288
146,365.0,-0.0002477047737155992,-99081909486.23969,-99041193345.2236
147,367.5,-0.00021940263110119235,-87761052440.47694,-87720473040.61308
148,370.0,-0.00019231748757467842,-76926995029.87137,-76886648103.16643
149,372.5,-0.0001664423954314595,-66576958172.5838,-66536932828.653244
150,375.0,-0.00014176773292780403,-56707093171.12161,-56667472084.83502
151,377.5,-0.00011828139730427191,-47312558921.70876,-47273418525.57233
152,380.0,-9.596899204086046e-05,-38387596816.344185,-38349007496.82513
153,382.5,-7.481400822540687e-05,-29925603290.162746,-29887629587.20512
154,385.0,-5.4797999939387596e-05,-21919199975.75504,-21881900784.771526
155,387.5,-3.590075358666107e-05,-14360301434.664427,-14323730210.32894
156,390.0,-1.810045111096341e-05,-7240180444.385364,-7204385405.591259
157,392.5,-1.3738270670906754e-06,-549530826.8362702,-514555162.21650505
158,395.0,1.4303680471290953e-05,5721472188.516381,5755590115.068173
159,397.5,2.8957785167342487e-05,11583114066.936995,11616340511.274958
160,400.0,4.2615213824538e-05,17046085529.8152,17078391163.570724
161,402.5,5.530357390740111e-05,22121429562.960445,22152789271.055515
162,405.0,6.705122713514795e-05,26820490854.05918,26850883534.12884
163,407.5,7.788716909106862e-05,31154867636.427444,31184276000.548103
164,410.0,8.784091477860807e-05,35136365911.44323,35164776290.530594
165,412.5,9.694239004416455e-05,38776956017.66582,38804358168.87778
166,415.0,0.00010522182877656897,42088731510.62759,42115118428.07868
167,417.5,0.00011270967578402613,45083870313.61045,45109238042.675644
168,420.0,0.00011943649524094206,47774598096.37682,47798945551.83571
169,422.5,0.00012543288458950993,50173153835.80397,50196482624.052444
170,425.0,0.00013072939377415147,52291757509.66059,52314071755.18985
171,427.5,0.0001353564496808643,54142579872.34572,54163886048.667755
172,430.0,0.00013934428564820017,55737714259.28007,55758021024.45298
173,432.5,0.00014272287591194513,57089150364.77805,57108468401.66534
174,435.0,0.00014552187484156325,58208749936.6253,58227091798.002205
175,437.5,0.00014777056082308576,59108224329.2343,59125604287.83383
176,440.0,0.000149497784640316,59799113856.126396,59815547759.70012
177,442.5,0.00015073192220398552,60292768881.59421,60308274013.04474
178,445.0,0.00015150083147677496,60600332590.709984,60614927533.33528
179,447.5,0.0001518318134408946,60732725376.357834,60746429884.23334
180,450.0,0.000151751576954182,60700630781.672806,60713465655.17936
