t_fs,I_W_m-2,I_R_continuous_W_m-2,I_R_iir_fp64_W_m-2,I_R_iir_fp32_W_m-2,fp64_error_over_response_peak,fp32_error_over_response_peak,Q_gaussian_dimensionless,p_rot_over_A_gaussian,delta_n_elec,delta_n_rot,rot_over_electronic_peak,rot_over_instantaneous_electronic,eq10_power_density_W_m-3
-417.5,1329.1635594446689,17.87640850100508,18.144755657977548,18.147661209106445,6.409317326410132e-19,6.478714742068696e-19,1.5230107195524595e-18,6.545540007390287e-23,1.0367475763668417e-20,4.1115739552311686e-22,1.054249732110556e-16,nan,2.9307263244728394e-13
-415.0,1984.3185500580864,26.974168942226004,27.37446453835738,27.37879753112793,9.560829818046966e-19,9.66432085537644e-19,2.2981097376309926e-18,9.876732340700199e-23,1.5477684690453074e-20,6.2040588567119815e-22,1.5907843222338415e-16,nan,6.562474838731119e-13
-412.5,2955.283272013402,40.60635906716226,41.20168143866325,41.2081298828125,1.4218932048728047e-18,1.4372949424132602e-18,3.4595271269286124e-18,1.4868229701375536e-22,2.3051209521704535e-20,9.33946258544732e-22,2.3947339962685435e-16,nan,1.4624371406778435e-12
-410.0,4390.779174660817,60.98435519869165,61.867233072274296,61.87681198120117,2.108702963764938e-18,2.1315816361704116e-18,5.195664816418806e-18,2.2329739038772405e-22,3.424807756235438e-20,1.4026401695699081e-21,3.5965132553074566e-16,nan,3.243425880082957e-12
-407.5,6507.869458278748,91.37375392935245,92.67957956537026,92.69377136230469,3.1188893404442604e-18,3.152785630239514e-18,7.784740805868704e-18,3.3456975540494326e-22,5.076138177457424e-20,2.1015963403751064e-21,5.388708565064375e-16,nan,7.158928129295302e-12
-405.0,9622.564412388308,136.58511891408887,138.51151230733242,138.53248596191406,4.601079695457604e-18,4.651174061734803e-18,1.1636599165084475e-17,5.001135212456479e-22,7.505600241662881e-20,3.141457735024044e-21,8.055019833394985e-16,nan,1.5725676025322508e-11
-402.5,14193.763934858003,203.6875261577468,206.52221850019515,206.5531463623047,6.7704994345665885e-18,6.844368852347605e-18,1.7353501726027836e-17,7.458124775996962e-22,1.1071135869189242e-19,4.684813101628176e-21,1.2012341286226093e-15,nan,3.437858403510298e-11
-400.0,20886.183339649695,303.0434217810666,307.2043025659128,307.2497863769531,9.938024165531939e-18,1.0046659629183102e-17,2.5818294532510392e-17,1.1096092602341774e-21,1.6291223004926761e-19,6.969998700964533e-21,1.78717915409347e-15,nan,7.479697384702263e-11
-397.5,30660.225938763382,449.80566393780646,455.8981492556366,455.9648132324219,1.4551550368195095e-17,1.4710773438145873e-17,3.832195084679195e-17,1.6469868478839735e-21,2.3914976232235436e-19,1.0345530270569549e-20,2.6527000693768077e-15,nan,1.6195616806696235e-10
-395.0,44900.003288970795,666.0776560741649,674.9766573670563,675.07421875,2.1254752171690418e-17,2.1487771917136693e-17,5.674760733948845e-17,2.438878002601623e-21,3.502200256539722e-19,1.5319786089705793e-20,3.928150279411741e-15,nan,3.4900240742261736e-10
-392.5,65595.21376362666,984.0223381870808,996.9890774481833,997.1314697265625,3.097031008297716e-17,3.1310405840748415e-17,8.383543983422275e-17,3.6030490030517794e-21,5.116426673562879e-19,2.263251377830286e-20,5.803208661103298e-15,nan,7.484742421759453e-10
-390.0,95598.85430163764,1450.325423326743,1469.173477441159,1469.3807373046875,4.5017491956151863e-17,4.551252020588969e-17,1.2356291625590775e-16,5.3104420172467574e-21,7.456710635527736e-19,3.3357484736515093e-20,8.55320121449105e-15,nan,1.5975072711367087e-09
-387.5,138991.41629834246,2132.5864266032413,2159.917135520346,2160.218505859375,6.527782450978036e-17,6.599763021124407e-17,1.8168929110711464e-16,7.808576187864682e-21,1.0841330471270712e-18,4.9049487811874554e-20,1.2576791746634502e-14,nan,3.3933325021707617e-09
