IR_normalized,I_normalized,case,parameter_set,phase_ratio_nRIR_over_n2I,t_fs
0.30754809553951346,0.9258747122872903,120fs,P1_implemented,0.9794765721282512,459.99999999999994
0.3258573010769387,0.9427391558685664,120fs,P1_implemented,1.019222832132283,462.5
0.34461970054460106,0.957603280698574,120fs,P1_implemented,1.0611767074736411,465.00000000000006
0.36379401603414313,0.970363521706913,120fs,P1_implemented,1.105488737693983,467.5
0.38333498206754046,0.9809300876689151,120fs,P1_implemented,1.1523214102650154,470.0
0.4031935013272107,0.9892280131939755,120fs,P1_implemented,1.2018502289793636,472.49999999999994
0.4233168397089972,0.9951980443443538,120fs,P1_implemented,1.2542648876152416,475.0
0.4436488597636975,0.9987973432501812,120fs,P1_implemented,1.3097705601183074,477.50000000000006
0.4641302910722781,1.0,120fs,P1_implemented,1.3685893198285124,480.0
0.48469903558985505,0.9987973432501811,120fs,P1_implemented,1.4309617017193905,482.5
0.5052905055029693,0.9951980443443538,120fs,P1_implemented,1.49714842323165,484.99999999999994
0.5258379906824152,0.9892280131939755,120fs,P1_implemented,1.567432281094304,487.5
0.5462730523882569,0.9809300876689148,120fs,P1_implemented,1.6421202435599827,490.00000000000006
0.5665259395024168,0.970363521706913,120fs,P1_implemented,1.721545759764904,492.49999999999994
0.5865260232342879,0.9576032806985735,120fs,P1_implemented,1.8060713104903234,495.0
0.6062022459721795,0.9427391558685664,120fs,P1_implemented,1.8960912274874353,497.49999999999994
0.6254835797429844,0.9258747122872903,120fs,P1_implemented,1.9920348117728917,500.0
0.6442994895979418,0.9071260877501989,120fs,P1_implemented,2.094369784953688,502.50000000000006
0.6625803971662272,0.8866206620021574,120fs,P1_implemented,2.203606111751056,504.99999999999994
0.6802581396114461,0.8644956176188338,120fs,P1_implemented,2.3203002365226233,507.5
0.6972664192887371,0.8408964152537138,120fs,P1_implemented,2.445059781798033,510.00000000000006
0.7135412395305727,0.8159752068963129,120fs,P1_implemented,2.5785487627219235,512.5
0.7290213221846845,0.7898892112544604,120fs,P1_implemented,2.721493377925828,515.0
0.7436485027838344,0.7627990753722692,120fs,P1_implemented,2.8746884448250865,517.5
0.7573680995393136,0.7348672461377991,120fs,P1_implemented,3.039004555768708,520.0
0.7701292527120196,0.70625637444331,120fs,P1_implemented,3.215396040983916,522.5
0.7818852313198593,0.6771277734684462,120fs,P1_implemented,3.404909834994078,525.0
0.7925937045805165,0.6476399509035877,120fs,P1_implemented,3.608695355307602,527.5
0.8022169759562932,0.6179472329646448,120fs,P1_implemented,3.828015515855376,530.0
0.8107221781544651,0.5881984958251403,120fs,P1_implemented,4.064259013097607,532.5
0.8180814279339448,0.558536017664122,120fs,P1_implemented,4.318954040153367,535.0
0.8242719400686557,0.52909446195884,120fs,P1_implemented,4.593783603983536,537.5
0.82927610031174,0.4999999999999994,120fs,P1_implemented,4.890602642864114,540.0
0.8330814976848097,0.47136957793428325,120fs,P1_implemented,5.211457166441294,542.5
0.8356809168757031,0.4433103310010782,120fs,P1_implemented,5.558605668917887,545.0
0.837072291960096,0.41591914508168343,120fs,P1_implemented,5.934543097775537,547.5
0.8372586230610569,0.38928236326822335,120fs,P1_implemented,6.342027696327805,550.0
0.8362478579213529,0.3634756329291112,120fs,P1_implemented,6.784111078803866,552.5
0.8340527406819954,0.33856388673422333,120fs,P1_implemented,7.264171942109834,555.0
0.830690630434143,0.3146014493349943,120fs,P1_implemented,7.785953869477366,557.5
0.826183292337984,0.2916322598940286,120fs,P1_implemented,8.35360773850309,560.0
0.8205566642804909,0.26969019943927997,120fs,P1_implemented,8.97173931027025,562.5
0.8138406021737873,0.2487995110860881,120fs,P1_implemented,9.645462648015055,565.0
0.8060686070780005,0.22897530052562515,120fs,P1_implemented,10.38046009387364,567.5
0.7972775373683559,0.21022410381342846,120fs,P1_implemented,11.18304962134197,570.0
0.7875073091581692,0.19254450939363957,120fs,P1_implemented,12.060260479897002,572.5
