alpha_eq10_m_inv,alpha_eq11_m_inv,boxcar_edge_method,dt_fs,path,pulse_fs,relative_error,u_R_signed_J_m3
0.29237998947429605,0.2913646659968954,analytic_distributional_flux,0.6250000000000001,iir,120.00000000000001,0.0034847172491789037,-17542.799368457767
0.2916252722736617,0.2913646659968954,analytic_distributional_flux,0.31250000000000006,direct,120.00000000000001,0.0008944333585358287,-17497.516336419703
0.2916252722736616,0.2913646659968954,analytic_distributional_flux,0.31250000000000006,fft_linear,120.00000000000001,0.0008944333585354476,-17497.516336419696
0.2918804471351459,0.2913646659968954,analytic_distributional_flux,0.31250000000000006,iir,120.00000000000001,0.0017702254200444311,-17512.826828108755
0.2066232790266391,0.20669634272901713,analytic_distributional_flux,2.5000000000000004,direct,200.0,0.00035348328573871706,-20662.32790266391
0.20662327902663902,0.20669634272901713,analytic_distributional_flux,2.5000000000000004,fft_linear,200.0,0.0003534832857391199,-20662.327902663903
0.20637429410861088,0.20669634272901713,analytic_distributional_flux,2.5000000000000004,iir,200.0,0.0015580760460210828,-20637.42941086109
0.20667117384660244,0.20669634272901713,analytic_distributional_flux,1.2500000000000002,direct,200.0,0.00012176742985571758,-20667.117384660243
0.20667117384660236,0.20669634272901713,analytic_distributional_flux,1.2500000000000002,fft_linear,200.0,0.00012176742985612043,-20667.117384660236
0.20660129025566773,0.20669634272901713,analytic_distributional_flux,1.2500000000000002,iir,200.0,0.00045986528883104236,-20660.129025566774
0.20668659912859616,0.20669634272901713,analytic_distributional_flux,0.6250000000000001,direct,200.0,4.713968468103711e-05,-20668.659912859617
0.20668659912859616,0.20669634272901713,analytic_distributional_flux,0.6250000000000001,fft_linear,200.0,4.713968468103711e-05,-20668.659912859617
0.2066655845934542,0.20669634272901713,analytic_distributional_flux,0.6250000000000001,iir,200.0,0.00014880832024815314,-20666.55845934542
0.20669218114516447,0.20669634272901713,analytic_distributional_flux,0.31250000000000006,direct,200.0,2.013380497070092e-05,-20669.218114516447
0.20669218114516447,0.20669634272901713,analytic_distributional_flux,0.31250000000000006,fft_linear,200.0,2.013380497070092e-05,-20669.218114516447
0.20668519026706314,0.20669634272901713,analytic_distributional_flux,0.31250000000000006,iir,200.0,5.395577786594137e-05,-20668.519026706315
0.07663058809352169,0.07664380511568294,analytic_distributional_flux,2.5000000000000004,direct,500.0,0.00017244736402773384,-19157.64702338042
0.07663058809352172,0.07664380511568294,analytic_distributional_flux,2.5000000000000004,fft_linear,500.0,0.0001724473640273717,-19157.64702338043
0.07655153837649792,0.07664380511568294,analytic_distributional_flux,2.5000000000000004,iir,500.0,0.0012038381842571974,-19137.88459412448
0.07664144802913501,0.07664380511568294,analytic_distributional_flux,1.2500000000000002,direct,500.0,3.075377774331924e-05,-19160.362007283755
0.076641448029135,0.07664380511568294,analytic_distributional_flux,1.2500000000000002,fft_linear,500.0,3.075377774350031e-05,-19160.36200728375
0.07662235951582975,0.07664380511568294,analytic_distributional_flux,1.2500000000000002,iir,500.0,0.0002798086527778826,-19155.58987895744
0.07664368946487486,0.07664380511568294,analytic_distributional_flux,0.6250000000000001,direct,500.0,1.50893875778216e-06,-19160.922366218714
0.07664368946487486,0.07664380511568294,analytic_distributional_flux,0.6250000000000001,fft_linear,500.0,1.50893875778216e-06,-19160.922366218714
0.07663935663227521,0.07664380511568294,analytic_distributional_flux,0.6250000000000001,iir,500.0,5.804100411012048e-05,-19159.839158068804
0.07664401301566585,0.07664380511568294,analytic_distributional_flux,0.31250000000000006,direct,500.0,2.7125477733772997e-06,-19161.003253916464
