E_dep_cumulative_J,E_dep_fraction,U0_J,case,x_focus_cm,z_m
2.3769275969698356e-07,0.0001094596360477045,0.00217151059769094,popruzhenko,-46.58999860286712,0.48410001397132874
2.3779521995948016e-07,0.00010950681991252449,0.00217151059769094,popruzhenko,-46.57999992370605,0.48420000076293945
2.3789772285454092e-07,0.00010955402341002053,0.00217151059769094,popruzhenko,-46.570001244544976,0.48429998755455017
2.380002541713111e-07,0.0001096012399959673,0.00217151059769094,popruzhenko,-46.559999585151665,0.4844000041484833
2.3810282812064543e-07,0.00010964847621459013,0.00217151059769094,popruzhenko,-46.55000090599059,0.484499990940094
2.3820545891339862e-07,0.0001096957386101144,0.00217151059769094,popruzhenko,-46.53999924659728,0.4846000075340271
2.3830811812786123e-07,0.00010974301409408936,0.00217151059769094,popruzhenko,-46.53000056743621,0.4846999943256378
2.38410819974888e-07,0.0001097903092107404,0.00217151059769094,popruzhenko,-46.5199989080429,0.4848000109195709
2.385135644544789e-07,0.00010983762396006752,0.00217151059769094,popruzhenko,-46.51000022888183,0.48489999771118164
2.3861633735577925e-07,0.00010988495179784534,0.00217151059769094,popruzhenko,-46.49999856948852,0.48500001430511475
2.3871916710049845e-07,0.00010993230581252459,0.00217151059769094,popruzhenko,-46.48999989032745,0.48510000109672546
2.388220252669271e-07,0.00010997967291565455,0.00217151059769094,popruzhenko,-46.480001211166375,0.4851999878883362
2.389249402767746e-07,0.00011002706619568593,0.00217151059769094,popruzhenko,-46.469999551773064,0.4853000044822693
2.390278837083315e-07,0.00011007447256416804,0.00217151059769094,popruzhenko,-46.46000087261199,0.48539999127388
2.3913085556159785e-07,0.00011012189202110085,0.00217151059769094,popruzhenko,-46.44999921321868,0.4855000078678131
2.3923388425828307e-07,0.0001101693376549351,0.00217151059769094,popruzhenko,-46.44000053405761,0.48559999465942383
2.393369413766777e-07,0.00011021679637722005,0.00217151059769094,popruzhenko,-46.4299988746643,0.48570001125335693
2.394400553384912e-07,0.00011026428127640642,0.00217151059769094,popruzhenko,-46.42000019550323,0.48579999804496765
2.3954319772201416e-07,0.0001103117792640435,0.00217151059769094,popruzhenko,-46.40999853610992,0.48590001463890076
2.3964639694895595e-07,0.00011035930342858203,0.00217151059769094,popruzhenko,-46.399999856948845,0.4860000014305115
2.397496245976072e-07,0.00011040684068157126,0.00217151059769094,popruzhenko,-46.390001177787774,0.4860999882221222
2.3985288066796784e-07,0.0001104543910230112,0.00217151059769094,popruzhenko,-46.37999951839446,0.4862000048160553
2.3995619358174736e-07,0.00011050196754135257,0.00217151059769094,popruzhenko,-46.37000083923339,0.486299991607666
2.400595349172363e-07,0.00011054955714814465,0.00217151059769094,popruzhenko,-46.35999917984008,0.4864000082015991
2.401629330961441e-07,0.00011059717293183816,0.00217151059769094,popruzhenko,-46.35000050067901,0.48649999499320984
2.4026635969676136e-07,0.00011064480180398237,0.00217151059769094,popruzhenko,-46.3399988412857,0.48660001158714294
2.4036984314079746e-07,0.00011069245685302803,0.00217151059769094,popruzhenko,-46.33000016212463,0.48669999837875366
2.40473355006543e-07,0.00011074012499052439,0.00217151059769094,popruzhenko,-46.320001482963555,0.4867999851703644
2.4057689529399795e-07,0.00011078780621647145,0.00217151059769094,popruzhenko,-46.309999823570244,0.4869000017642975
2.4068049242487177e-07,0.00011083551361931995,0.00217151059769094,popruzhenko,-46.30000114440917,0.4869999885559082
2.40784117977455e-07,0.00011088323411061916,0.00217151059769094,popruzhenko,-46.28999948501586,0.4871000051498413
2.4088780037345714e-07,0.0001109309807788198,0.00217151059769094,popruzhenko,-46.28000080585479,0.487199991941452
2.409915111911687e-07,0.00011097874053547114,0.00217151059769094,popruzhenko,-46.26999914646148,0.48730000853538513
2.410952788522991e-07,0.00011102652646902392,0.00217151059769094,popruzhenko,-46.26000046730041,0.48739999532699585
2.411990749351389e-07,0.0001110743254910274,0.00217151059769094,popruzhenko,-46.2499988079071,0.48750001192092896
2.413028994396882e-07,0.00011112213760148161,0.00217151059769094,popruzhenko,-46.240000128746026,0.4875999987125397
2.414067807876563e-07,0.00011116997588883723,0.00217151059769094,popruzhenko,-46.230001449584954,0.4876999855041504
2.415106905573339e-07,0.00011121782726464358,0.00217151059769094,popruzhenko,-46.21999979019164,0.4878000020980835
2.416146571704303e-07,0.00011126570481735133,0.00217151059769094,popruzhenko,-46.21000111103057,0.4878999888896942
2.4171865220523614e-07,0.00011131359545850981,0.00217151059769094,popruzhenko,-46.19999945163726,0.4880000054836273
