z_m,x_focus_cm,IR_max_z,delta_n_rot_max_z,delta_n_rot_applied_max_z,dphi_rot_max_abs_z,dphi_rot_applied_max_abs_z,alpha_R_raw_max_z,alpha_R_applied_max_z
0.9463000297546387,-0.36999702453612837,3.195438488354816e+17,7.349508450715803e-06,7.349508450715803e-06,0.0028869241941720247,0.0028869241941720247,0.004368105437606573,0.004368105437606573
0.9463499784469604,-0.36500215530395064,3.193432566828892e+17,7.3448950388410594e-06,7.3448950388410594e-06,0.0028851120732724667,0.0028851120732724667,0.004366561770439148,0.004366561770439148
0.946399986743927,-0.36000132560729536,3.191422522134364e+17,7.340272077271948e-06,7.340272077271948e-06,0.00288329622708261,0.00288329622708261,0.004365014377981424,0.004365014377981424
0.9464499950408936,-0.3550004959106401,3.189411790245069e+17,7.335647296713432e-06,7.335647296713432e-06,0.0028814796824008226,0.0028814796824008226,0.004363465588539839,0.004363465588539839
0.9465000033378601,-0.3499996662139848,3.1873965915897856e+17,7.3310120569658466e-06,7.3310120569658466e-06,0.0028796587139368057,0.0028796587139368057,0.004361915402114391,0.004361915402114391
0.9465500116348267,-0.34499883651732954,3.185379674947584e+17,7.326373179239454e-06,7.326373179239454e-06,0.002877836814150214,0.002877836814150214,0.0043603661470115185,0.0043603661470115185
0.9466000199317932,-0.33999800682067427,3.1833603531236966e+17,7.32172884454485e-06,7.32172884454485e-06,0.0028760123532265425,0.0028760123532265425,0.004358815494924784,0.004358815494924784
0.9466500282287598,-0.334997177124019,3.1813568367794586e+17,7.317120889638318e-06,7.317120889638318e-06,0.0028742023278027773,0.0028742023278027773,0.004357263445854187,0.004357263445854187
0.9466999769210815,-0.33000230789184126,3.1793650027462656e+17,7.3125397648254875e-06,7.3125397648254875e-06,0.0028724027797579765,0.0028724027797579765,0.0043557193130254745,0.0043557193130254745
0.9467499852180481,-0.325001478195186,3.1773731687130726e+17,7.307958185265306e-06,7.307958185265306e-06,0.002870602998882532,0.002870602998882532,0.0043541849590837955,0.0043541849590837955
0.9467999935150146,-0.3200006484985307,3.1753792730955776e+17,7.303372512978967e-06,7.303372512978967e-06,0.002868801821023226,0.002868801821023226,0.004352661781013012,0.004352661781013012
0.9468500018119812,-0.31499981880187544,3.173385033880699e+17,7.2987854764505755e-06,7.2987854764505755e-06,0.002867000177502632,0.002867000177502632,0.004351150710135698,0.004351150710135698
0.9469000101089478,-0.30999898910522017,3.171390107471053e+17,7.294197075680131e-06,7.294197075680131e-06,0.002865197602659464,0.002865197602659464,0.004349641501903534,0.004349641501903534
