x_focus_cm,rho_1e16_cm3
-9.462651911962688,5.353419039356414
-9.392868343290395,5.37118069248363
-9.32308477461811,5.442227304992503
-9.253301205945817,5.406703998738067
-9.183517637273525,5.38894234561085
-9.113734068601232,5.353419039356414
-9.043950499928947,5.282372426847541
-8.974166931256654,5.300134079974757
-8.904383362584362,5.317895733101977
-8.83459979391207,5.211325814338668
-8.764816225239777,5.193564161211448
-8.695032656567491,5.158040854957012
-8.625249087895199,5.104755895575359
-8.555465519222906,5.140279201829795
-8.485681950550614,5.122517548702575
-8.415898381878321,5.086994242448139
-8.346114813206036,5.051470936193702
-8.276331244533743,4.998185976812046
-8.20654767586145,4.980424323684829
-8.136764107189158,4.962662670557609
-8.066980538516873,4.9093777111759564
-7.99719696984458,4.8916160580487364
-7.927413401172288,4.8383310986670836
-7.857629832499995,4.87385440492152
-7.787846263827703,4.8916160580487364
-7.718062695155417,4.8560927517943
-7.648279126483125,4.802807792412647
-7.578495557810832,4.785046139285427
-7.50871198913854,4.731761179903774
-7.4389284204662545,4.749522833030991
-7.369144851793962,4.678476220522118
-7.299361283121669,4.642952914267681
-7.229577714449377,4.625191261140465
-7.159794145777084,4.625191261140465
-7.090010577104799,4.607429608013245
-7.0202270084325065,4.607429608013245
-6.950443439760214,4.589667954886028
-6.880659871087921,4.554144648631592
-6.810876302415636,4.5186213423771555
-6.7410927337433435,4.483098036122719
-6.671309165071051,4.465336382995499
-6.6015255963987585,4.483098036122719
-6.531742027726466,4.447574729868283
-6.4619584590541805,4.35876646423219
-6.392174890381888,4.323243157977753
-6.3223913217095955,4.305481504850537
-6.252607753037303,4.25219654546888
-6.182824184365018,4.2699581985961
-6.113040615692725,4.216673239214444
-6.0432570470204325,4.145626626705571
-5.97347347834814,4.127864973578355
-5.9036899096758475,4.074580014196698
-5.833906341003562,4.003533401687825
-5.76412277233127,3.985771748560609
-5.694339203658977,3.9324867891789523
-5.6245556349866845,3.8792018297972994
-5.554772066314399,3.843678523542863
-5.484988497642107,3.7903935641612065
-5.415204928969814,3.7371086047795536
-5.345421360297522,3.7015852985251136
-5.275637791625229,3.666061992270677
-5.205854222952944,3.6305386860162407
-5.136070654280651,3.559492073507368
-5.066287085608359,3.488445460998495
