z_m,x_focus_cm,IR_max_z,delta_n_rot_max_z,delta_n_rot_applied_max_z,dphi_rot_max_abs_z,dphi_rot_applied_max_abs_z,alpha_R_raw_max_z,alpha_R_applied_max_z
1.1895500421524048,23.955004215240482,3.431035698151424e+16,1.650600212066422e-09,1.650600212066422e-09,1.2967283282705466e-06,1.2967283282705466e-06,0.0015883753076195717,0.0015883753076195717
1.189650058746338,23.965005874633793,3.425625113100288e+16,1.6480323772327665e-09,1.6480323772327665e-09,1.2947110690220143e-06,1.2947110690220143e-06,0.0015869481721892953,0.0015869481721892953
1.1897499561309814,23.974995613098148,3.420187469755187e+16,1.645440561581779e-09,1.645440561581779e-09,1.2926748240715824e-06,1.2926748240715824e-06,0.00158552301581949,0.00158552301581949
1.1898499727249146,23.98499727249146,3.4147259893415936e+16,1.6428274296487189e-09,1.6428274296487189e-09,1.2906219808428432e-06,1.2906219808428432e-06,0.0015840990236029029,0.0015840990236029029
1.1899499893188477,23.99499893188477,3.409250765032653e+16,1.6402018632177828e-09,1.6402018632177828e-09,1.2885592468592222e-06,1.2885592468592222e-06,0.001582677592523396,0.001582677592523396
1.1900500059127808,24.00500059127808,3.403769313021133e+16,1.6375620859321316e-09,1.6375620859321316e-09,1.2864854852523422e-06,1.2864854852523422e-06,0.0015812597703188658,0.0015812597703188658
1.1901500225067139,24.01500225067139,3.3982923707252736e+16,1.6349207543342459e-09,1.6349207543342459e-09,1.2844103594034095e-06,1.2844103594034095e-06,0.0015798446256667376,0.0015798446256667376
1.190250039100647,24.0250039100647,3.392828528079667e+16,1.6322809770485947e-09,1.6322809770485947e-09,1.2823364841096918e-06,1.2823364841096918e-06,0.0015784320421516895,0.0015784320421516895
1.19035005569458,24.03500556945801,3.387435552394445e+16,1.6296516358593749e-09,1.6296516358593749e-09,1.2802709079551278e-06,1.2802709079551278e-06,0.0015770222526043653,0.0015770222526043653
1.1904499530792236,24.044995307922367,3.3820951900585984e+16,1.6270363945025679e-09,1.6270363945025679e-09,1.2782163594238227e-06,1.2782163594238227e-06,0.0015756137436255813,0.0015756137436255813
1.1905499696731567,24.054996967315677,3.376785966235648e+16,1.6244379175134327e-09,1.6244379175134327e-09,1.2761749985656934e-06,1.2761749985656934e-06,0.001574206748045981,0.001574206748045981
1.1906499862670898,24.064998626708988,3.3715080956739584e+16,1.6218595355610432e-09,1.6218595355610432e-09,1.2741493264911696e-06,1.2741493264911696e-06,0.0015728018479421735,0.0015728018479421735
1.190750002861023,24.0750002861023,3.366255994916045e+16,1.6192973628648133e-09,1.6192973628648133e-09,1.2721365010293084e-06,1.2721365010293084e-06,0.0015713993925601244,0.0015713993925601244
1.190850019454956,24.08500194549561,3.361028804968448e+16,1.6167536198707921e-09,1.6167536198707921e-09,1.2701381137958379e-06,1.2701381137958379e-06,0.0015699985669925809,0.0015699985669925809
1.1909500360488892,24.09500360488892,3.3558196538834944e+16,1.6142225334192517e-09,1.6142225334192517e-09,1.2681497310040868e-06,1.2681497310040868e-06,0.0015685998369008303,0.0015685998369008303
1.1910500526428223,24.10500526428223,3.350619951726592e+16,1.6117017720418403e-09,1.6117017720418403e-09,1.2661693062909762e-06,1.2661693062909762e-06,0.0015672030858695507,0.0015672030858695507
1.1911499500274658,24.114995002746586,3.345426477272269e+16,1.6091895593817185e-09,1.6091895593817185e-09,1.264195702788129e-06,1.264195702788129e-06,0.0015658073825761676,0.0015658073825761676
1.191249966621399,24.124996662139896,3.340229137347379e+16,1.606680566368368e-09,1.606680566368368e-09,1.2622246003957116e-06,1.2622246003957116e-06,0.0015644141240045428,0.0015644141240045428
1.191349983215332,24.134998321533207,3.335027931951923e+16,1.6041765693586285e-09,1.6041765693586285e-09,1.2602574770426145e-06,1.2602574770426145e-06,0.0015630223788321018,0.0015630223788321018
1.1914499998092651,24.144999980926517,3.3298200693571584e+16,1.6016727943934939e-09,1.6016727943934939e-09,1.258290467376355e-06,1.258290467376355e-06,0.0015616322634741664,0.0015616322634741664
1.1915500164031982,24.155001640319828,3.3246057643114496e+16,1.5991731272535503e-09,1.5991731272535503e-09,1.2563266409415519e-06,1.2563266409415519e-06,0.001560243428684771,0.001560243428684771
1.1916500329971313,24.16500329971314,3.319390170775552e+16,1.596677345894193e-09,1.596677345894193e-09,1.2543658840513672e-06,1.2543658840513672e-06,0.001558856456540525,0.001558856456540525
1.1917500495910645,24.17500495910645,3.314175006736384e+16,1.594187892806076e-09,1.594187892806076e-09,1.25241024306888e-06,1.25241024306888e-06,0.0015574702993035316,0.0015574702993035316
1.191849946975708,24.184994697570804,3.3089667146448896e+16,1.5917065443460388e-09,1.5917065443460388e-09,1.2504608548624674e-06,1.2504608548624674e-06,0.0015560855390504003,0.0015560855390504003
1.1919499635696411,24.194996356964115,3.303772381197107e+16,1.5892337446032911e-09,1.5892337446032911e-09,1.2485182878663181e-06,1.2485182878663181e-06,0.0015547017101198435,0.0015547017101198435
1.1920499801635742,24.204998016357425,3.298595871863603e+16,1.5867690494886233e-09,1.5867690494886233e-09,1.2465819736462436e-06,1.2465819736462436e-06,0.001553320325911045,0.001553320325911045
1.1921499967575073,24.214999675750736,3.293438904631296e+16,1.5843149014926894e-09,1.5843149014926894e-09,1.2446539585653227e-06,1.2446539585653227e-06,0.0015519405715167522,0.0015519405715167522
1.1922500133514404,24.225001335144047,3.2883068482093056e+16,1.5818686360802303e-09,1.5818686360802303e-09,1.2427320825736388e-06,1.2427320825736388e-06,0.0015505623305216432,0.0015505623305216432
1.1923500299453735,24.235002994537357,3.283198628855808e+16,1.5794267005375673e-09,1.5794267005375673e-09,1.2408137308739242e-06,1.2408137308739242e-06,0.0015491865342482924,0.0015491865342482924
1.1924500465393066,24.245004653930668,3.2781129580806144e+16,1.5769872074855584e-09,1.5769872074855584e-09,1.2388971981636132e-06,1.2388971981636132e-06,0.001547812600620091,0.001547812600620091
1.1925499439239502,24.254994392395023,3.2730427491876864e+16,1.5745473813666422e-09,1.5745473813666422e-09,1.2369804380796268e-06,1.2369804380796268e-06,0.0015464413445442915,0.0015464413445442915
1.1926499605178833,24.264996051788334,3.2679886464221184e+16,1.5721034474225348e-09,1.5721034474225348e-09,1.2350604947641841e-06,1.2350604947641841e-06,0.0015450726496055722,0.0015450726496055722
1.1927499771118164,24.274997711181644,3.262942274597683e+16,1.5696524080510699e-09,1.5696524080510699e-09,1.233134980793693e-06,1.233134980793693e-06,0.0015437068650498986,0.0015437068650498986
1.1928499937057495,24.284999370574955,3.257899982992179e+16,1.5671928199623153e-09,1.5671928199623153e-09,1.2312026456129388e-06,1.2312026456129388e-06,0.0015423428267240524,0.0015423428267240524
1.1929500102996826,24.295001029968265,3.2528529669226496e+16,1.5647259044015982e-09,1.5647259044015982e-09,1.2292645124034607e-06,1.2292645124034607e-06,0.0015409813495352864,0.0015409813495352864
1.1930500268936157,24.305002689361576,3.247800796892365e+16,1.5622493299005669e-09,1.5622493299005669e-09,1.2273189895495307e-06,1.2273189895495307e-06,0.001539622782729566,0.001539622782729566
1.1931500434875488,24.315004348754886,3.242738748437299e+16,1.5597666491729e-09,1.5597666491729e-09,1.2253685781615786e-06,1.2253685781615786e-06,0.0015382668934762478,0.0015382668934762478
1.1932499408721924,24.324994087219242,3.237668969041101e+16,1.5572793055085299e-09,1.5572793055085299e-09,1.2234144151079818e-06,1.2234144151079818e-06,0.0015369135653600097,0.0015369135653600097
